departamento_hecho|lugar_zona|anio_inicio|hechos_continuan|amenaza_carta|cluster
Amazonas|Urbana|1962|0|0|0
Amazonas|Rural|2010|0|0|1
Amazonas|Rural|2007|1|0|1
Amazonas|Rural|2001|0|0|1
Amazonas|Rural|1958|0|0|1
Amazonas|Rural|1977|0|0|1
Amazonas|Urbana|2015|0|0|0
Amazonas|Rural|1999|1|0|1
Amazonas|Rural|1951|0|0|1
Amazonas|Rural|1981|0|0|1
Antioquia|Rural|1979|0|0|1
Antioquia|Rural|1965|0|0|1
Antioquia|Urbana|1946|0|0|0
Antioquia|Rural|2016|0|0|1
Antioquia|Rural|1988|0|0|1
Antioquia|Rural|2015|0|0|1
Antioquia|Rural|1953|0|0|1
Antioquia|Rural|1958|0|0|1
Antioquia|Urbana|1964|0|0|0
Antioquia|Rural|1989|0|0|1
Antioquia|Rural|1956|0|0|1
Antioquia|Rural|1942|0|0|1
Antioquia|Rural|1982|1|0|1
Antioquia|Rural|1944|0|0|1
Antioquia|Urbana|1954|0|0|0
Antioquia|Rural|1976|0|0|1
Antioquia|Rural|2018|0|0|1
Antioquia|Rural|2006|0|0|1
Antioquia|Rural|1982|0|0|1
Antioquia|Rural|2005|0|0|1
Antioquia|Urbana|1962|0|0|0
Antioquia|Rural|1976|0|0|1
Antioquia|Rural|1959|0|0|1
Antioquia|Rural|1968|1|0|1
Antioquia|Rural|2020|0|1|1
Antioquia|Rural|2000|0|0|1
Antioquia|Urbana|1961|0|0|0
Antioquia|Rural|1988|0|0|1
Antioquia|Rural|1947|0|0|1
Antioquia|Rural|1982|0|0|1
Antioquia|Rural|1965|0|0|1
Antioquia|Rural|1950|0|0|1
Antioquia|Urbana|1974|0|0|0
Antioquia|Rural|1940|0|0|1
Antioquia|Rural|2009|0|0|1
Antioquia|Rural|1999|0|0|1
Antioquia|Rural|1978|0|0|1
Antioquia|Rural|1991|0|0|1
Antioquia|Urbana|1958|0|0|0
Antioquia|Rural|2002|1|0|1
Antioquia|Rural|2004|0|0|1
Antioquia|Rural|1997|0|0|1
Antioquia|Rural|2014|0|0|1
Antioquia|Rural|2017|0|0|1
Antioquia|Urbana|1946|0|0|0
Antioquia|Rural|1973|0|0|1
Antioquia|Rural|2003|0|0|1
Antioquia|Rural|2004|1|0|1
Antioquia|Rural|1941|0|0|1
Antioquia|Rural|1970|0|0|1
Antioquia|Urbana|1947|0|0|0
Antioquia|Rural|1959|0|0|1
Antioquia|Rural|1981|0|0|1
Antioquia|Rural|2004|0|0|1
Antioquia|Rural|2012|0|0|1
Antioquia|Rural|1975|0|0|1
Antioquia|Urbana|1948|0|0|0
Antioquia|Rural|1971|1|0|1
Antioquia|Rural|1958|0|0|1
Antioquia|Rural|1991|0|0|1
Antioquia|Rural|1945|0|0|1
Antioquia|Rural|1980|0|0|1
Antioquia|Urbana|2007|0|0|0
Antioquia|Rural|1971|0|0|1
Antioquia|Rural|1962|0|0|1
