pais_hecho|anio_fin|victimas_identificadas|amenaza_familiar|amenaza_hostigamiento|v_vs_cambios_forzados_ind_col|cluster
Colombia|2018|1|0|0|Sin Especificar|0
Colombia|2015|1|0|0|Sin Especificar|0
Colombia|2008|1|0|0|Sin Especificar|0
Colombia|2004|1|0|0|Sin Especificar|0
Colombia|2004|1|0|0|Sin Especificar|0
Colombia|2011|1|0|0|Sin Especificar|0
Colombia|2016|1|0|0|Sin Especificar|0
Colombia|2004|1|0|0|Sin Especificar|0
Colombia|1957|1|0|0|Sin Especificar|3
Colombia|1985|1|0|0|Sin Especificar|1
Colombia|1994|1|0|0|Sin Especificar|1
Colombia|1965|2|0|0|Sin Especificar|3
Colombia|1950|2|0|0|Sin Especificar|3
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|1995|2|0|0|Sin Especificar|1
Colombia|2018|2|0|0|Sin Especificar|0
Colombia|1993|6|0|1|Sin Especificar|5
Colombia|2017|2|0|0|Sin Especificar|0
Colombia|2009|1|0|0|Sin Especificar|0
Colombia|1991|1|0|0|Sin Especificar|1
Colombia|1998|1|0|0|Sin Especificar|1
Colombia|1977|1|0|0|Sin Especificar|3
Colombia|1996|1|0|0|Sin Especificar|1
Colombia|2000|1|1|1|Sin Especificar|6
Colombia|1992|1|1|0|Sin Especificar|6
Colombia|2016|1|0|0|Sin Especificar|0
Colombia|2020|4|0|0|Sin Especificar|2
Colombia|2006|4|0|0|Sin Especificar|2
Colombia|2008|1|0|1|Sin Especificar|5
Colombia|2013|1|0|0|Sin Especificar|0
Colombia|1980|1|0|0|Sin Especificar|1
Colombia|2004|1|0|0|Sin Especificar|0
Colombia|1972|1|0|0|Sin Especificar|3
Colombia|2009|1|0|0|Sin Especificar|0
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2003|1|0|0|Sin Especificar|1
Colombia|2019|1|0|0|Sin Especificar|0
Colombia|2000|1|0|0|Sin Especificar|1
Colombia|1955|2|0|0|Sin Especificar|3
Colombia|2008|1|0|0|Sin Especificar|0
Colombia|1995|1|0|0|Sin Especificar|1
Colombia|1982|3|0|0|Sin Especificar|4
Colombia|1989|1|0|1|Sin Especificar|5
Colombia|1942|1|0|0|Sin Especificar|3
Colombia|2020|3|0|0|Sin Especificar|2
Colombia|2002|5|0|0|Sin Especificar|2
Colombia|1982|1|0|0|Sin Especificar|1
Colombia|2013|1|0|0|Sin Especificar|0
Colombia|1971|1|0|0|Sin Especificar|3
Colombia|2019|1|0|0|Sin Especificar|0
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2009|2|0|0|Sin Especificar|2
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2017|1|0|0|Sin Especificar|0
Colombia|1963|1|0|0|Sin Especificar|3
Colombia|1987|2|0|0|Sin Especificar|1
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2013|1|0|0|Sin Especificar|0
Colombia|2016|4|0|0|Sin Especificar|2
Colombia|2000|4|0|0|Sin Especificar|2
Colombia|2008|1|0|0|Sin Especificar|0
Colombia|1959|1|0|0|Sin Especificar|3
Colombia|2010|1|0|0|Sin Especificar|0
Colombia|2012|1|0|0|Sin Especificar|0
Colombia|2015|2|0|0|Sin Especificar|0
Colombia|2006|1|0|0|Sin Especificar|0
Colombia|2017|1|1|0|Sin Especificar|6
Colombia|2013|1|0|0|Sin Especificar|0
Colombia|2011|2|0|0|Sin Especificar|0
Colombia|1998|1|0|0|Sin Especificar|1
Colombia|1997|1|0|0|Sin Especificar|1
Colombia|2007|1|0|0|Sin Especificar|0
Colombia|2010|1|0|0|Sin Especificar|0
Colombia|1977|1|0|0|Sin Especificar|3
Colombia|2000|4|1|1|Sin Especificar|6
Colombia|2012|1|0|0|Sin Especificar|0
Colombia|1991|1|0|0|Sin Especificar|1
Colombia|2008|2|0|0|Sin Especificar|2
Colombia|2017|1|0|0|Sin Especificar|0
Colombia|2008|1|0|0|Sin Especificar|0
Colombia|2020|0|0|0|Sin Especificar|0
Colombia|2013|1|0|0|Sin Especificar|0
Colombia|2001|1|0|1|Sin Especificar|5
Colombia|2007|1|0|0|Sin Especificar|0
Colombia|2014|2|0|0|Sin Especificar|0
Colombia|2019|1|0|1|Sin Especificar|5
Colombia|2015|1|0|0|Sin Especificar|0
Colombia|2016|1|0|0|Sin Especificar|0
Colombia|2004|1|0|0|Sin Especificar|0
Colombia|2015|2|0|0|Sin Especificar|0
Colombia|1995|4|0|0|Sin Especificar|4
Colombia|2005|1|0|0|Sin Especificar|0
Colombia|2010|1|0|0|Sin Especificar|0
Colombia|2018|1|0|0|Sin Especificar|0
Colombia|2019|1|0|0|Sin Especificar|0
Colombia|1971|3|0|0|Sin Especificar|4
Colombia|2000|3|0|0|Sin Especificar|2
Colombia|1993|1|0|0|Sin Especificar|1
Colombia|1993|1|0|0|Sin Especificar|1
Colombia|1996|1|0|0|Sin Especificar|1
Colombia|1952|1|0|0|Sin Especificar|3
Colombia|2002|1|0|0|Sin Especificar|1
Colombia|2013|1|0|0|Sin Especificar|0
Colombia|1996|1|0|0|Sin Especificar|1
Colombia|1997|3|0|0|Sin Especificar|2
Colombia|2011|3|0|0|Sin Especificar|2
Colombia|1993|1|0|0|Sin Especificar|1
Colombia|2015|1|0|0|Sin Especificar|0
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2002|1|0|0|Sin Especificar|1
Colombia|2002|1|0|0|Sin Especificar|1
Colombia|1984|1|0|0|Sin Especificar|1
Colombia|2002|1|0|0|Sin Especificar|1
Colombia|1986|3|0|0|Sin Especificar|4
Colombia|2003|3|0|0|Sin Especificar|2
Colombia|2002|1|0|0|Sin Especificar|1
Colombia|2009|1|0|0|Sin Especificar|0
Colombia|1946|1|0|0|Sin Especificar|3
Colombia|2016|1|0|0|Sin Especificar|0
Colombia|2007|1|0|0|Sin Especificar|0
Colombia|2011|1|0|0|Sin Especificar|0
Colombia|2007|1|0|0|Sin Especificar|0
Colombia|1993|3|0|0|Sin Especificar|4
Colombia|2018|3|0|0|Sin Especificar|2
Colombia|1997|1|0|0|Sin Especificar|1
Colombia|2016|1|0|0|Sin Especificar|0
Colombia|2009|1|0|0|Sin Especificar|0
Colombia|1982|1|0|0|Sin Especificar|1
Colombia|1994|1|0|0|Sin Especificar|1
Colombia|2019|1|0|0|Sin Especificar|0
Colombia|1968|1|0|0|Sin Especificar|3
Colombia|2011|3|0|0|Sin Especificar|2
Colombia|2016|3|0|0|Sin Especificar|2
Colombia|1983|1|0|0|Sin Especificar|1
Colombia|2015|1|0|0|Sin Especificar|0
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2018|1|0|0|Sin Especificar|0
Colombia|1999|1|0|0|Sin Especificar|1
Colombia|1993|1|0|0|Sin Especificar|1
Colombia|1982|1|0|0|Sin Especificar|1
Colombia|1995|3|0|0|Sin Especificar|4
Colombia|2008|3|0|0|Sin Especificar|2
Colombia|2017|1|0|0|Sin Especificar|0
Colombia|1985|1|0|0|Sin Especificar|1
Colombia|1973|1|0|0|Sin Especificar|3
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2001|1|0|0|Sin Especificar|1
Colombia|2001|1|0|0|Sin Especificar|1
Colombia|1981|1|0|0|Sin Especificar|1
Colombia|2009|3|0|0|Sin Especificar|2
Colombia|2009|3|0|0|Sin Especificar|2
Colombia|1995|1|0|0|Sin Especificar|1
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|2001|1|0|0|Sin Especificar|1
Colombia|2019|1|0|0|Sin Especificar|0
Colombia|2012|1|0|0|Sin Especificar|0
Colombia|2012|1|0|0|Sin Especificar|0
Colombia|2015|1|0|0|Sin Especificar|0
Colombia|2012|3|0|0|Sin Especificar|2
Colombia|1996|3|0|0|Sin Especificar|2
Colombia|1951|1|0|0|Sin Especificar|3
Colombia|1986|1|0|0|Sin Especificar|1
Colombia|2020|1|0|0|Sin Especificar|0
Colombia|1977|1|0|0|Sin Especificar|3
Colombia|1995|1|0|0|Sin Especificar|1
Colombia|1989|1|0|0|Sin Especificar|1
