departamento_hecho|lugar_zona|anio_fin|responsables_identificados|tc_tc_politico|v_amenaza|tipo_amenaza|cluster
Amazonas|Urbana|2018|0|0|0.0|Sin Especificar|1
Amazonas|Rural|2015|0|0|1.0|Individual|2
Amazonas|Rural|2008|1|0|1.0|Colectivo|2
Amazonas|Rural|2004|1|0|1.0|Individual|2
Amazonas|Rural|2004|0|0|0.0|Sin Especificar|0
Amazonas|Rural|2011|0|0|0.0|Sin Especificar|0
Amazonas|Urbana|2016|0|0|0.0|Sin Especificar|1
Amazonas|Rural|2004|0|0|0.0|Sin Especificar|0
Amazonas|Rural|1957|0|0|0.0|Sin Especificar|0
Amazonas|Rural|1985|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1994|0|0|1.0|Individual|2
Antioquia|Rural|1965|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|1950|0|0|0.0|Sin Especificar|1
Antioquia|Rural|2020|1|0|0.0|Sin Especificar|0
Antioquia|Rural|1995|0|0|1.0|Individual|2
Antioquia|Rural|2018|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1993|0|0|1.0|Colectivo|2
Antioquia|Rural|2017|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|2009|0|0|0.0|Sin Especificar|1
Antioquia|Rural|1991|0|0|1.0|Colectivo|2
Antioquia|Rural|1998|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1977|1|0|0.0|Sin Especificar|0
Antioquia|Rural|1996|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2000|0|0|1.0|Individual|2
Antioquia|Urbana|1992|1|0|1.0|Individual|1
Antioquia|Rural|2016|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2020|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2006|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2008|0|0|1.0|Individual|2
Antioquia|Rural|2013|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|1980|0|0|0.0|Sin Especificar|1
Antioquia|Rural|2004|1|0|0.0|Sin Especificar|0
Antioquia|Rural|1972|0|0|1.0|Colectivo|2
Antioquia|Rural|2009|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2020|0|0|1.0|Individual|2
Antioquia|Rural|2003|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|2019|1|0|0.0|Sin Especificar|1
Antioquia|Rural|2000|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1955|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2008|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1995|0|0|1.0|Individual|2
Antioquia|Rural|1982|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|1989|1|0|1.0|Colectivo|1
Antioquia|Rural|1942|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2020|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2002|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1982|2|0|0.0|Sin Especificar|0
Antioquia|Rural|2013|1|0|0.0|Sin Especificar|0
Antioquia|Urbana|1971|0|0|0.0|Sin Especificar|1
Antioquia|Rural|2019|0|0|1.0|Colectivo|2
Antioquia|Rural|2020|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2009|1|0|0.0|Sin Especificar|0
Antioquia|Rural|2020|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2017|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|1963|0|0|0.0|Sin Especificar|1
Antioquia|Rural|1987|2|0|0.0|Sin Especificar|0
Antioquia|Rural|2020|1|0|1.0|Individual|2
Antioquia|Rural|2013|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2016|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2000|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|2008|0|0|0.0|Sin Especificar|1
Antioquia|Rural|1959|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2010|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2012|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2015|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2006|3|0|0.0|Sin Especificar|0
Antioquia|Urbana|2017|0|0|1.0|Individual|1
Antioquia|Rural|2013|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2011|1|0|1.0|Colectivo|2
Antioquia|Rural|1998|1|0|0.0|Sin Especificar|0
Antioquia|Rural|1997|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2007|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|2010|0|0|0.0|Sin Especificar|1
Antioquia|Rural|1977|0|0|1.0|Colectivo|2
Antioquia|Rural|2000|0|0|1.0|Colectivo|2
Antioquia|Rural|2012|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1991|0|0|1.0|Individual|2
Antioquia|Rural|2008|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|2017|0|0|1.0|Individual|1
Antioquia|Rural|2008|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2020|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2013|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2001|0|0|1.0|Individual|2
Antioquia|Rural|2007|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|2014|0|0|0.0|Sin Especificar|1
Antioquia|Rural|2019|0|0|1.0|Colectivo|2
Antioquia|Rural|2015|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2016|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2004|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2015|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|1995|0|0|1.0|Colectivo|1
Antioquia|Rural|2005|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2010|1|0|1.0|Individual|2
Antioquia|Rural|2018|0|0|0.0|Sin Especificar|0
Antioquia|Rural|2019|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1971|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|2000|1|0|0.0|Sin Especificar|1
Antioquia|Rural|1993|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1993|0|0|0.0|Sin Especificar|0
Antioquia|Rural|1996|0|0|0.0|Sin Especificar|0
Antioquia|Urbana|1952|0|0|-0.26666666699999997|Colectivo|1
Antioquia|Rural|2002|1|0|-0.35151515200000005|Sin Especificar|0
Antioquia|Rural|2013|0|0|-0.436363636|Individual|2
Antioquia|Rural|1996|0|0|-0.521212121|Sin Especificar|0
Antioquia|Rural|1997|0|0|-0.606060606|Sin Especificar|0
Antioquia|Rural|2011|1|0|-0.690909091|Sin Especificar|0
Antioquia|Urbana|1993|0|0|-0.775757576|Sin Especificar|1
Antioquia|Rural|2015|0|0|-0.8606060609999999|Sin Especificar|0
Antioquia|Rural|2020|0|0|-0.945454545|Sin Especificar|0
Antioquia|Rural|2002|0|0|-1.03030303|Sin Especificar|0
Antioquia|Urbana|2002|1|0|-1.115151515|Colectivo|1
Antioquia|Rural|1984|0|0|-1.2|Sin Especificar|0
Antioquia|Rural|2002|0|0|-1.284848485|Individual|2
Antioquia|Rural|1986|0|0|-1.36969697|Sin Especificar|0
Antioquia|Rural|2003|1|0|-1.454545455|Sin Especificar|0
Antioquia|Rural|2002|0|0|-1.539393939|Sin Especificar|0
Antioquia|Urbana|2009|0|0|-1.624242424|Sin Especificar|1
Antioquia|Rural|1946|0|0|-1.7090909090000002|Sin Especificar|0
Antioquia|Rural|2016|0|0|-1.7939393940000001|Sin Especificar|0
Antioquia|Rural|2007|1|0|-1.878787879|Sin Especificar|0
Arauca|Urbana|2011|0|0|-1.963636364|Colectivo|1
Arauca|Rural|2007|0|0|-2.048484848|Sin Especificar|0
Arauca|Rural|1993|0|0|-2.133333333|Individual|2
Arauca|Rural|2018|1|0|-2.218181818|Sin Especificar|0
Arauca|Rural|1997|0|0|-2.3030303030000003|Sin Especificar|0
