pais_hecho|anio_inicio|victimas_identificadas|victimas_total|responsables_identificados|tc_tc_politico|cluster
Colombia|1962|1|5|0|0|5
Colombia|2010|1|1|0|0|1
Colombia|2007|1|1|1|0|2
Colombia|2001|1|1|1|0|2
Colombia|1958|1|1|0|0|5
Colombia|1977|1|7|0|0|0
Colombia|2015|1|1|0|0|1
Colombia|1999|1|1|0|0|1
Colombia|1951|1|1|0|0|5
Colombia|1981|1|4|0|0|0
Colombia|1979|1|1|0|0|0
Colombia|1965|2|2|0|0|5
Colombia|1946|2|5|0|0|5
Colombia|2016|1|1|1|0|2
Colombia|1988|2|7|0|0|0
Colombia|2015|2|2|0|0|1
Colombia|1953|6|30|0|0|3
Colombia|1958|2|1|0|0|5
Colombia|1964|1|2|0|0|5
Colombia|1989|1|2|0|0|0
Colombia|1956|1|1|0|0|5
Colombia|1942|1|9|1|0|6
Colombia|1982|1|1|0|0|0
Colombia|1944|1|1|0|0|5
Colombia|1954|1|1|1|0|6
Colombia|1976|1|1|0|0|0
Colombia|2018|4|4|0|0|4
Colombia|2006|4|4|0|0|4
Colombia|1982|1|1|0|0|0
Colombia|2005|1|1|0|0|1
Colombia|1962|1|1|0|0|5
Colombia|1976|1|1|1|0|6
Colombia|1959|1|4|0|0|5
Colombia|1968|1|1|0|0|0
Colombia|2020|1|1|0|0|1
Colombia|2000|1|1|0|0|1
Colombia|1961|1|1|1|0|6
Colombia|1988|1|1|0|0|0
Colombia|1947|2|3|0|0|5
Colombia|1982|1|1|0|0|0
Colombia|1965|1|1|0|0|5
Colombia|1950|3|1|0|0|3
Colombia|1974|1|15|1|0|6
Colombia|1940|1|1|0|0|5
Colombia|2009|3|4|0|0|4
Colombia|1999|5|5|0|0|4
Colombia|1978|1|1|2|0|6
Colombia|1991|1|1|1|0|2
Colombia|1958|1|1|0|0|5
Colombia|2002|1|1|0|0|1
Colombia|2004|1|1|0|0|1
Colombia|1997|2|2|1|0|2
Colombia|2014|1|1|0|0|1
Colombia|2017|1|1|0|0|1
Colombia|1946|1|1|0|0|5
Colombia|1973|2|1|2|0|6
Colombia|2003|1|1|1|0|2
Colombia|2004|1|1|0|0|1
Colombia|1941|4|4|0|0|3
Colombia|1970|4|4|0|0|3
Colombia|1947|1|1|0|0|5
Colombia|1959|1|1|0|0|5
Colombia|1981|1|1|0|0|0
Colombia|2004|1|200|0|0|1
Colombia|2012|2|9|0|0|1
Colombia|1975|1|1|3|0|6
Colombia|1948|1|20|0|0|5
Colombia|1971|1|1|0|0|0
Colombia|1958|2|2|1|0|6
Colombia|1991|1|1|1|0|2
Colombia|1945|1|1|0|0|5
Colombia|1980|1|1|0|0|0
Colombia|2007|1|1|0|0|1
Colombia|1971|1|3|0|0|0
Colombia|1962|4|4|0|0|3
Colombia|1960|1|1|0|0|5
Colombia|1982|1|1|0|0|0
Colombia|1994|2|2|0|0|4
Colombia|2014|1|1|0|0|1
Colombia|2007|1|1|0|0|1
Colombia|1988|0|1|0|0|0
Colombia|2004|1|1|0|0|1
Colombia|1988|1|1|0|0|0
Colombia|1980|1|1|0|0|0
Colombia|2012|2|2|0|0|1
Colombia|2017|1|1|0|0|1
Colombia|2015|1|1|0|0|1
Colombia|2015|1|1|0|0|1
Colombia|1996|1|1|0|0|1
Colombia|2005|2|2|0|0|1
Colombia|1992|4|1|0|0|4
Colombia|1999|1|2|0|0|1
Colombia|1943|1|1|1|0|6
Colombia|2017|1|1|0|0|1
Colombia|1961|1|1|0|0|5
Colombia|1963|3|1|0|0|3
Colombia|1999|3|1|1|0|2
Colombia|1950|1|1|0|0|5
Colombia|1955|1|1|0|0|5
Colombia|1971|1|1|0|0|0
Colombia|1951|1|2|0|0|5
Colombia|2001|1|1|1|0|2
Colombia|2010|1|1|0|0|1
Colombia|1948|1|1|0|0|5
Colombia|1988|3|1|0|0|4
Colombia|2006|3|1|1|0|2
Colombia|1954|1|1|0|0|5
Colombia|2000|1|1|0|0|1
Colombia|2020|1|1|0|0|1
Colombia|1962|1|2|0|0|5
