pais_hecho|departamento_hecho|anio_fin|hechos_continuan|victimas_identificadas|victimas_total|responsables_identificados|cluster
Colombia|Amazonas|2018|0|1|5|0|0
Colombia|Amazonas|2015|0|1|1|0|0
Colombia|Amazonas|2008|1|1|1|1|0
Colombia|Amazonas|2004|0|1|1|1|0
Colombia|Amazonas|2004|0|1|1|0|0
Colombia|Amazonas|2011|0|1|7|0|0
Colombia|Amazonas|2016|0|1|1|0|0
Colombia|Amazonas|2004|1|1|1|0|0
Colombia|Amazonas|1957|0|1|1|0|0
Colombia|Amazonas|1985|0|1|4|0|0
Colombia|Antioquia|1994|0|1|1|0|1
Colombia|Antioquia|1965|0|2|2|0|1
Colombia|Antioquia|1950|0|2|5|0|1
Colombia|Antioquia|2020|0|1|1|1|1
Colombia|Antioquia|1995|0|2|7|0|1
Colombia|Antioquia|2018|0|2|2|0|1
Colombia|Antioquia|1993|0|6|30|0|1
Colombia|Antioquia|2017|0|2|1|0|1
Colombia|Antioquia|2009|0|1|2|0|1
Colombia|Antioquia|1991|0|1|2|0|1
Colombia|Antioquia|1998|0|1|1|0|1
Colombia|Antioquia|1977|0|1|9|1|1
Colombia|Antioquia|1996|1|1|1|0|1
Colombia|Antioquia|2000|0|1|1|0|1
Colombia|Antioquia|1992|0|1|1|1|1
Colombia|Antioquia|2016|0|1|1|0|1
Colombia|Antioquia|2020|0|4|4|0|1
Colombia|Antioquia|2006|0|4|4|0|1
Colombia|Antioquia|2008|0|1|1|0|1
Colombia|Antioquia|2013|0|1|1|0|1
Colombia|Antioquia|1980|0|1|1|0|1
Colombia|Antioquia|2004|0|1|1|1|1
Colombia|Antioquia|1972|0|1|4|0|1
Colombia|Antioquia|2009|1|1|1|0|1
Colombia|Antioquia|2020|0|1|1|0|1
Colombia|Antioquia|2003|0|1|1|0|1
Colombia|Antioquia|2019|0|1|1|1|1
Colombia|Antioquia|2000|0|1|1|0|1
Colombia|Antioquia|1955|0|2|3|0|1
Colombia|Antioquia|2008|0|1|1|0|1
Colombia|Antioquia|1995|0|1|1|0|1
Colombia|Antioquia|1982|0|3|1|0|1
Colombia|Antioquia|1989|0|1|15|1|1
Colombia|Antioquia|1942|0|1|1|0|1
Colombia|Antioquia|2020|0|3|4|0|1
Colombia|Antioquia|2002|0|5|5|0|1
Colombia|Antioquia|1982|0|1|1|2|1
Colombia|Antioquia|2013|0|1|1|1|1
Colombia|Antioquia|1971|0|1|1|0|1
Colombia|Antioquia|2019|1|1|1|0|1
Colombia|Antioquia|2020|0|1|1|0|1
Colombia|Antioquia|2009|0|2|2|1|1
Colombia|Antioquia|2020|0|1|1|0|1
Colombia|Antioquia|2017|0|1|1|0|1
Colombia|Antioquia|1963|0|1|1|0|1
Colombia|Antioquia|1987|0|2|1|2|1
Colombia|Antioquia|2020|0|1|1|1|1
Colombia|Antioquia|2013|1|1|1|0|1
Colombia|Antioquia|2016|0|4|4|0|1
Colombia|Antioquia|2000|0|4|4|0|1
Colombia|Antioquia|2008|0|1|1|0|1
Colombia|Antioquia|1959|0|1|1|0|1
Colombia|Antioquia|2010|0|1|1|0|1
Colombia|Antioquia|2012|0|1|200|0|1
Colombia|Antioquia|2015|0|2|9|0|1
Colombia|Antioquia|2006|0|1|1|3|1
Colombia|Antioquia|2017|0|1|20|0|1
Colombia|Antioquia|2013|1|1|1|0|1
Colombia|Antioquia|2011|0|2|2|1|1
Colombia|Antioquia|1998|0|1|1|1|1
Colombia|Antioquia|1997|0|1|1|0|1
Colombia|Antioquia|2007|0|1|1|0|1
Colombia|Antioquia|2010|0|1|1|0|1
Colombia|Antioquia|1977|0|1|3|0|1
Colombia|Antioquia|2000|0|4|4|0|1
Colombia|Antioquia|2012|0|1|1|0|1
Colombia|Antioquia|1991|0|1|1|0|1
Colombia|Antioquia|2008|0|2|2|0|1
Colombia|Antioquia|2017|0|1|1|0|1
Colombia|Antioquia|2008|0|1|1|0|1
Colombia|Antioquia|2020|0|0|1|0|1
Colombia|Antioquia|2013|0|1|1|0|1
Colombia|Antioquia|2001|0|1|1|0|1
Colombia|Antioquia|2007|0|1|1|0|1
Colombia|Antioquia|2014|0|2|2|0|1
Colombia|Antioquia|2019|0|1|1|0|1
Colombia|Antioquia|2015|0|1|1|0|1
Colombia|Antioquia|2016|0|1|1|0|1
Colombia|Antioquia|2004|0|1|1|0|1
Colombia|Antioquia|2015|0|2|2|0|1
