pais_hecho|departamento_hecho|ciudad_hecho|lugar_zona|anio_inicio|anio_fin|hechos_continuan|victimas_identificadas|victimas_total|responsables_identificados|cluster
Colombia|Antioquia|Medellín|Urbana|1987||0|1|5|0|1
Colombia|Antioquia|Apartadó|Rural|1987||0|1|1|0|0
Colombia|Antioquia|Turbo|Rural|2006||1|1|1|1|0
Colombia|Antioquia|Apartadó|Rural|2008||0|1|1|1|0
Colombia|Antioquia|Apartadó|Rural|1987||0|1|1|0|0
Colombia|Antioquia|Turbo|Rural|1981||0|1|7|0|0
Colombia|Antioquia|Apartadó|Urbana|1995||0|1|1|0|1
Colombia|Antioquia|Apartadó|Rural|2010||1|1|1|0|0
Colombia|Putumayo|Puerto Asís|Rural|2017||0|1|1|0|0
Colombia|Putumayo|Puerto Asís|Rural|2017||0|1|4|0|0
Colombia|Putumayo|Puerto Asís|Rural|2017||0|1|1|0|0
Colombia|Meta|Lejanías|Rural|2002||0|2|2|0|0
Colombia|Putumayo|Puerto Asís|Rural|2000||0|2|5|0|0
Colombia|Meta|Mapiripán|Rural|1977||0|1|1|1|0
Colombia|Putumayo|Puerto Asís|Rural|1999||0|2|7|0|0
Colombia|Putumayo|Villagarzón|Rural|2002||0|2|2|0|0
Colombia|Putumayo|Villagarzón|Rural|2002||0|6|30|0|0
Colombia|Putumayo|Villagarzón|Rural|1990||0|2|1|0|0
Colombia|Putumayo|Villagarzón|Rural|2002||0|1|2|0|0
Colombia|Meta|Vistahermosa|Rural|2005||0|1|2|0|0
Colombia|Cundinamarca|Viotá|Rural|1992||0|1|1|0|0
Colombia|Cauca|Guapí|Rural|2014||0|1|9|1|0
Colombia|Sucre|Sincelejo|Urbana|2004||0|1|1|0|1
Colombia|Huila|Isnos|Urbana|2002||0|1|1|1|1
Colombia|Risaralda|Belén De Umbría|Rural|1997||0|1|1|0|0
España|Sin Especificar|Pais Vasco|Urbana|2017||0|3|4|0|1
Colombia|Risaralda|Belén De Umbría|Rural|1997||0|4|4|0|0
Colombia|Risaralda|Belén De Umbría|Rural|2004||0|4|4|0|0
Colombia|Risaralda|Dosquebradas|Urbana|2015|2016.0|0|1|1|0|1
Colombia|Risaralda|Dosquebradas|Urbana|2016|2017.0|0|1|1|0|1
Colombia|Nariño|San Andrés De Tumaco|Urbana|2018||0|1|1|0|1
Colombia|Huila|Isnos|Urbana|1996||0|1|1|1|1
Colombia|Huila|Isnos|Urbana|1985||0|1|4|0|1
Colombia|Chocó|Riosucio|Rural|1997||1|1|1|0|0
Colombia|Cesar|Chiriguaná|Rural|1988|1990.0|0|1|1|0|0
Colombia|Cesar|Chiriguaná|Rural|2001|2002.0|0|1|1|0|0
Colombia|Cesar|Chiriguaná|Rural|2001|2002.0|0|1|1|1|0
Colombia|Meta|Uribe|Rural|2019||0|1|1|0|0
Colombia|Nariño|San Andrés De Tumaco|Rural|2009||0|2|3|0|0
Colombia|Valle Del Cauca|Buenaventura|Urbana|2015||0|1|1|0|1
Colombia|Risaralda|Dosquebradas|Rural|2016|2017.0|0|1|1|0|0
Colombia|Boyacá|Pauna|Rural|1982|1991.0|0|3|1|0|0
Colombia|Boyacá|Pauna|Rural|1989||0|1|15|1|0
Colombia|Santander|Barrancabermeja|Rural|1991||0|1|1|0|0
Colombia|Chocó|Riosucio|Rural|1997||0|5|5|0|0
Colombia|Guainía|Inírida|Rural|2004|2006.0|0|1|1|2|0
Colombia|Meta|Villavicencio|Rural|2000||0|1|1|1|0
Colombia|Putumayo|Puerto Guzmán|Rural|2004||0|1|1|0|0
Colombia|Magdalena|Ciénaga|Rural|1989||1|1|1|0|0
Colombia|La Guajira|Riohacha|Rural|1994||0|1|1|0|0
Colombia|La Guajira|Riohacha|Urbana|2005||0|2|2|1|1
Colombia|La Guajira|Riohacha|Rural|2006||0|1|1|0|0
Colombia|Quindio|Armenia|Urbana|2005||0|1|1|0|1
Colombia|Meta|Villavicencio|Urbana|2000||0|1|1|0|1
Colombia|Guainía|Inírida|Rural|2004|2006.0|0|2|1|2|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2003||0|1|1|1|1
Colombia|Meta|Villavicencio|Urbana|2008||1|1|1|0|1
Colombia|Chocó|Istmina|Urbana|2009||0|4|4|0|1
