Tipo|columna|variable|C_0|C_1
135|departamento_hecho|Amazonas|4|16
135|departamento_hecho|Antioquia|38|182
135|departamento_hecho|Arauca|4|10
135|departamento_hecho|Archipiélago De San Andrés, Providencia Y Santa Catalina|0|4
135|departamento_hecho|Atlántico|2|10
135|departamento_hecho|Bogotá|2|2
135|departamento_hecho|Bolívar|12|48
135|departamento_hecho|Boyacá|14|58
135|departamento_hecho|Caldas|8|38
135|departamento_hecho|Caquetá|8|26
135|departamento_hecho|Casanare|8|32
135|departamento_hecho|Cauca|16|70
135|departamento_hecho|Cesar|12|40
135|departamento_hecho|Chocó|10|44
135|departamento_hecho|Cundinamarca|18|72
135|departamento_hecho|Córdoba|8|30
135|departamento_hecho|Guainía|2|8
135|departamento_hecho|Guaviare|2|8
135|departamento_hecho|Huila|14|56
135|departamento_hecho|La Guajira|6|24
135|departamento_hecho|Magdalena|8|36
135|departamento_hecho|Meta|12|44
135|departamento_hecho|Nariño|18|74
135|departamento_hecho|Norte De Santander|12|46
135|departamento_hecho|Putumayo|6|22
135|departamento_hecho|Quindio|2|14
135|departamento_hecho|Risaralda|6|20
135|departamento_hecho|Santander|19|77
135|departamento_hecho|Sin Especificar|9|34
135|departamento_hecho|Sucre|4|17
135|departamento_hecho|Sumapaz|0|1
135|departamento_hecho|Tolima|8|32
135|departamento_hecho|Valle Del Cauca|8|29
135|departamento_hecho|Vaupés|1|4
135|departamento_hecho|Vichada|1|4
135|lugar_zona|Urbana|302|0
135|lugar_zona|Rural|0|1232
135|anio_inicio|1962|7|22
135|anio_inicio|2010|2|15
135|anio_inicio|2007|3|14
135|anio_inicio|2001|7|10
135|anio_inicio|1958|11|15
135|anio_inicio|1977|6|13
135|anio_inicio|2015|5|17
135|anio_inicio|1999|5|20
135|anio_inicio|1951|3|11
135|anio_inicio|1981|2|11
135|anio_inicio|1979|7|11
135|anio_inicio|1965|1|14
135|anio_inicio|1946|6|8
135|anio_inicio|2016|6|17
135|anio_inicio|1988|3|24
135|anio_inicio|1953|3|16
135|anio_inicio|1964|6|13
135|anio_inicio|1989|3|10
135|anio_inicio|1956|7|15
135|anio_inicio|1942|4|18
135|anio_inicio|1982|6|19
135|anio_inicio|1944|4|23
135|anio_inicio|1954|5|17
135|anio_inicio|1976|4|14
135|anio_inicio|2018|1|19
135|anio_inicio|2006|1|10
135|anio_inicio|2005|2|6
135|anio_inicio|1959|4|17
135|anio_inicio|1968|2|13
135|anio_inicio|2020|3|18
135|anio_inicio|2000|8|21
135|anio_inicio|1961|4|21
135|anio_inicio|1947|4|20
135|anio_inicio|1950|5|18
135|anio_inicio|1974|3|9
135|anio_inicio|1940|6|19
135|anio_inicio|2009|10|6
135|anio_inicio|1978|2|22
135|anio_inicio|1991|0|16
135|anio_inicio|2002|2|12
135|anio_inicio|2004|5|13
135|anio_inicio|1997|3|16
135|anio_inicio|2014|2|15
135|anio_inicio|2017|2|13
135|anio_inicio|1973|1|17
135|anio_inicio|2003|5|11
135|anio_inicio|1941|1|18
135|anio_inicio|1970|6|17
135|anio_inicio|2012|5|15
135|anio_inicio|1975|8|21
135|anio_inicio|1948|3|19
135|anio_inicio|1971|2|18
135|anio_inicio|1945|3|12
135|anio_inicio|1980|3|15
135|anio_inicio|1960|3|12
135|anio_inicio|1994|2|14
135|anio_inicio|1996|4|6
135|anio_inicio|1992|3|20
135|anio_inicio|1943|4|21
135|anio_inicio|1963|5|9
135|anio_inicio|1955|2|20
135|anio_inicio|1983|3|20
135|anio_inicio|1967|2|16
135|anio_inicio|1972|4|12
135|anio_inicio|2013|2|16
135|anio_inicio|1957|2|18
135|anio_inicio|1984|3|15
135|anio_inicio|1998|3|18
135|anio_inicio|1995|1|11
135|anio_inicio|1966|5|18
135|anio_inicio|1993|4|9
135|anio_inicio|2008|1|15
135|anio_inicio|2011|5|16
135|anio_inicio|1952|2|23
135|anio_inicio|2019|2|15
135|anio_inicio|1969|3|16
135|anio_inicio|1949|4|10
135|anio_inicio|1990|5|13
135|anio_inicio|1987|3|14
135|anio_inicio|1985|1|10
135|anio_inicio|1986|2|11
135|hechos_continuan|0|302|1218
135|hechos_continuan|1|0|14
135|amenaza_carta|0|302|1230
135|amenaza_carta|1|0|2
135|cluster|0|302|0
135|cluster|1|0|1232
