Tipo|columna|variable|C_0|C_1|C_2
140|departamento_hecho|Amazonas|25|10|15
140|departamento_hecho|Antioquia|355|95|100
140|departamento_hecho|Arauca|20|10|5
140|departamento_hecho|Archipiélago De San Andrés, Providencia Y Santa Catalina|10|0|0
140|departamento_hecho|Atlántico|20|5|5
140|departamento_hecho|Bogotá|5|5|0
140|departamento_hecho|Bolívar|105|30|15
140|departamento_hecho|Boyacá|125|35|20
140|departamento_hecho|Caldas|85|20|10
140|departamento_hecho|Caquetá|55|20|10
140|departamento_hecho|Casanare|70|20|10
140|departamento_hecho|Cauca|155|40|20
140|departamento_hecho|Cesar|90|30|10
140|departamento_hecho|Chocó|95|25|15
140|departamento_hecho|Cundinamarca|155|45|25
140|departamento_hecho|Córdoba|65|20|10
140|departamento_hecho|Guainía|20|5|0
140|departamento_hecho|Guaviare|15|5|5
140|departamento_hecho|Huila|125|35|15
140|departamento_hecho|La Guajira|50|15|10
140|departamento_hecho|Magdalena|80|20|10
140|departamento_hecho|Meta|95|30|15
140|departamento_hecho|Nariño|165|45|20
140|departamento_hecho|Norte De Santander|100|30|15
140|departamento_hecho|Putumayo|50|15|5
140|departamento_hecho|Quindio|30|5|5
140|departamento_hecho|Risaralda|40|15|10
140|departamento_hecho|Santander|185|50|25
140|departamento_hecho|Sin Especificar|150|45|20
140|departamento_hecho|Sucre|75|20|10
140|departamento_hecho|Sumapaz|5|0|0
140|departamento_hecho|Tolima|140|40|20
140|departamento_hecho|Valle Del Cauca|125|40|20
140|departamento_hecho|Vaupés|20|5|0
140|departamento_hecho|Vichada|15|5|5
140|lugar_zona|Urbana|0|835|0
140|lugar_zona|Rural|2920|0|480
140|anio_fin|2018|113|37|24
140|anio_fin|2015|84|34|10
140|anio_fin|2008|83|29|14
140|anio_fin|2004|57|16|7
140|anio_fin|2011|80|22|15
140|anio_fin|2016|100|29|13
140|anio_fin|1957|16|2|2
140|anio_fin|1985|33|13|4
140|anio_fin|1994|37|10|8
140|anio_fin|1965|14|3|2
140|anio_fin|1950|7|4|1
140|anio_fin|2020|187|51|29
140|anio_fin|1995|45|13|9
140|anio_fin|1993|38|11|13
140|anio_fin|2017|109|31|21
140|anio_fin|2009|62|22|7
140|anio_fin|1991|34|7|11
140|anio_fin|1998|55|19|7
140|anio_fin|1977|30|6|4
140|anio_fin|1996|38|9|3
140|anio_fin|2000|51|14|11
140|anio_fin|1992|29|12|6
140|anio_fin|2006|60|14|12
140|anio_fin|2013|101|26|19
140|anio_fin|1980|23|12|4
140|anio_fin|1972|16|2|6
140|anio_fin|2003|55|19|10
140|anio_fin|2019|141|36|21
140|anio_fin|1955|9|2|0
140|anio_fin|1982|29|10|5
140|anio_fin|1989|27|14|4
140|anio_fin|1942|1|0|0
140|anio_fin|2002|52|14|7
140|anio_fin|1971|20|8|8
140|anio_fin|1963|11|5|4
140|anio_fin|1987|30|5|7
140|anio_fin|1959|11|4|1
140|anio_fin|2010|74|19|12
140|anio_fin|2012|79|18|6
140|anio_fin|1997|41|14|11
140|anio_fin|2007|68|20|5
140|anio_fin|2001|56|12|10
140|anio_fin|2014|86|22|17
140|anio_fin|2005|55|23|13
140|anio_fin|1952|5|1|0
140|anio_fin|1984|30|11|7
140|anio_fin|1986|27|4|6
140|anio_fin|1946|4|1|0
140|anio_fin|1968|17|4|2
140|anio_fin|1983|31|9|2
140|anio_fin|1999|56|15|9
140|anio_fin|1973|22|6|1
140|anio_fin|1981|18|4|4
140|anio_fin|1951|5|2|1
140|anio_fin|1970|16|6|1
140|anio_fin|1967|19|5|1
140|anio_fin|1961|12|1|1
140|anio_fin|1962|20|3|2
140|anio_fin|1944|4|1|0
140|anio_fin|1975|22|2|5
140|anio_fin|1988|30|10|7
140|anio_fin|1990|36|10|6
140|anio_fin|1943|3|1|0
140|anio_fin|1958|11|1|1
140|anio_fin|1979|26|4|2
140|anio_fin|1969|12|2|3
140|anio_fin|1974|27|4|4
140|anio_fin|1978|23|6|3
140|anio_fin|1966|14|5|0
140|anio_fin|1960|15|2|1
140|anio_fin|1976|16|7|0
140|anio_fin|1948|5|1|3
140|anio_fin|1964|13|3|2
140|anio_fin|1953|6|2|1
140|anio_fin|1956|9|6|1
140|anio_fin|1945|5|0|0
140|anio_fin|1947|2|1|0
140|anio_fin|1954|8|2|1
140|anio_fin|1949|2|0|0
140|anio_fin|1941|1|0|0
140|anio_fin|1940|1|0|0
140|responsables_identificados|-9999_a_0|2290|650|375
140|responsables_identificados|0_a_1|615|185|105
140|responsables_identificados|1_a_2|10|0|0
140|responsables_identificados|2_a_3|5|0|0
140|tc_tc_politico|0|2920|835|480
140|v_amenaza|-9999_a_0|2920|810|375
140|v_amenaza|0_a_38|0|25|105
140|tipo_amenaza|Sin Especificar|2920|435|0
140|tipo_amenaza|Individual|0|15|435
140|tipo_amenaza|Colectivo|0|385|45
140|cluster|0_a_1|0|835|0
140|cluster|1_a_2|0|0|480
140|cluster|-9999_a_0|2920|0|0
