Tipo|columna|variable|C_0|C_1|C_2|C_3|C_4|C_5|C_6
143|pais_hecho|Colombia|345|565|2280|385|185|390|85
143|lugar_zona|Urbana|0|565|0|0|185|0|85
143|lugar_zona|Rural|345|0|2280|385|0|390|0
143|victimas_identificadas|0_a_1|0|555|2235|0|100|385|0
143|victimas_identificadas|1_a_2|10|10|40|0|0|5|0
143|victimas_identificadas|5_a_6|0|0|0|5|0|0|0
143|victimas_identificadas|3_a_4|0|0|0|25|0|0|5
143|victimas_identificadas|2_a_3|335|0|0|350|85|0|80
143|victimas_identificadas|4_a_5|0|0|0|5|0|0|0
143|victimas_identificadas|-9999_a_0|0|0|5|0|0|0|0
143|responsables_identificados|-9999_a_0|0|565|2280|385|0|0|85
143|responsables_identificados|0_a_1|345|0|0|0|185|375|0
143|responsables_identificados|1_a_2|0|0|0|0|0|10|0
143|responsables_identificados|2_a_3|0|0|0|0|0|5|0
143|tc_tc_politico|0|345|565|2280|385|185|390|85
143|cluster|0_a_1|0|565|0|0|0|0|0
143|cluster|1_a_2|0|0|2280|0|0|0|0
143|cluster|4_a_5|0|0|0|0|0|390|0
143|cluster|2_a_3|0|0|0|385|0|0|0
143|cluster|3_a_4|0|0|0|0|185|0|0
143|cluster|-9999_a_0|345|0|0|0|0|0|0
143|cluster|5_a_6|0|0|0|0|0|0|85
