Tipo|columna|variable|C_0|C_1|C_2|C_3|C_4|C_5|C_6
145|pais_hecho|Colombia|940|963|397|449|255|936|295
145|anio_inicio|1962|0|0|0|14|0|37|8
145|anio_inicio|2010|0|37|12|0|5|0|0
145|anio_inicio|2007|0|43|8|0|2|0|0
145|anio_inicio|2001|0|33|15|0|4|0|0
145|anio_inicio|1958|0|0|0|12|0|32|5
145|anio_inicio|1977|36|0|0|11|0|0|4
145|anio_inicio|2015|0|43|14|0|4|0|0
145|anio_inicio|1999|0|36|16|0|10|0|0
145|anio_inicio|1951|0|0|0|8|0|36|2
145|anio_inicio|1981|27|0|12|0|2|0|4
145|anio_inicio|1979|42|0|0|7|5|0|7
145|anio_inicio|1965|0|0|0|7|0|32|5
145|anio_inicio|1946|0|0|0|9|0|31|4
145|anio_inicio|2016|0|39|13|0|5|0|0
145|anio_inicio|1988|45|0|10|0|4|0|0
145|anio_inicio|1953|0|0|0|6|0|36|3
145|anio_inicio|1964|0|0|0|13|0|34|5
145|anio_inicio|1989|20|0|10|0|4|0|0
145|anio_inicio|1956|0|0|0|10|0|34|8
145|anio_inicio|1942|0|0|0|14|0|29|12
145|anio_inicio|1982|43|0|10|0|5|0|5
145|anio_inicio|1944|0|0|0|12|0|45|5
145|anio_inicio|1954|0|0|0|8|0|41|4
145|anio_inicio|1976|37|0|0|12|0|0|13
145|anio_inicio|2018|0|34|11|0|10|0|0
145|anio_inicio|2006|0|27|8|0|6|0|0
145|anio_inicio|2005|0|35|8|0|5|0|0
145|anio_inicio|1959|0|0|0|10|0|40|3
145|anio_inicio|1968|28|0|0|13|0|0|8
145|anio_inicio|2020|0|39|15|0|9|0|0
145|anio_inicio|2000|0|40|12|0|11|0|0
145|anio_inicio|1961|0|0|0|15|0|41|5
145|anio_inicio|1947|0|0|0|13|0|42|2
145|anio_inicio|1950|0|0|0|11|0|31|7
145|anio_inicio|1974|41|0|0|9|0|0|9
145|anio_inicio|1940|0|0|0|13|0|38|4
145|anio_inicio|2009|0|36|9|0|4|0|0
145|anio_inicio|1978|30|0|0|3|7|0|11
145|anio_inicio|1991|33|0|11|0|6|0|0
145|anio_inicio|2002|0|31|9|0|8|0|0
145|anio_inicio|2004|0|28|12|0|3|0|0
145|anio_inicio|1997|0|38|9|0|4|0|0
145|anio_inicio|2014|0|36|12|0|7|0|0
145|anio_inicio|2017|0|34|6|0|2|0|0
145|anio_inicio|1973|43|0|0|12|0|0|7
145|anio_inicio|2003|0|39|5|0|3|0|0
145|anio_inicio|1941|0|0|0|9|0|34|7
145|anio_inicio|1970|41|0|0|16|0|0|8
145|anio_inicio|2012|0|35|7|0|3|0|0
145|anio_inicio|1975|34|0|0|11|0|0|11
145|anio_inicio|1948|0|0|0|12|0|39|10
145|anio_inicio|1971|36|0|0|10|0|0|3
145|anio_inicio|1945|0|0|0|10|0|40|9
145|anio_inicio|1980|27|0|0|8|6|0|6
145|anio_inicio|1960|0|0|0|7|0|36|7
145|anio_inicio|1994|0|42|7|0|8|0|0
145|anio_inicio|1996|0|23|6|0|10|0|0
145|anio_inicio|1992|48|0|7|0|6|0|0
145|anio_inicio|1943|0|0|0|10|0|35|8
145|anio_inicio|1963|0|0|0|13|0|31|11
145|anio_inicio|1955|0|0|0|16|0|36|3
145|anio_inicio|1983|34|0|4|0|6|0|8
145|anio_inicio|1967|31|0|0|16|0|0|5
145|anio_inicio|1972|34|0|0|8|0|0|9
145|anio_inicio|2013|0|33|11|0|7|0|0
145|anio_inicio|1957|0|0|0|15|0|38|8
145|anio_inicio|1984|35|0|7|0|6|0|5
145|anio_inicio|1998|0|39|6|0|10|0|0
145|anio_inicio|1995|0|29|9|0|4|0|0
145|anio_inicio|1966|29|0|0|15|0|0|8
145|anio_inicio|1993|0|21|10|0|10|0|0
145|anio_inicio|2008|0|37|13|0|7|0|0
145|anio_inicio|2011|0|32|12|0|10|0|0
145|anio_inicio|1952|0|0|0|9|0|31|10
145|anio_inicio|2019|0|24|7|0|6|0|0
145|anio_inicio|1969|31|0|0|10|0|0|7
145|anio_inicio|1949|0|0|0|12|0|37|2
145|anio_inicio|1990|37|0|13|0|3|0|0
145|anio_inicio|1987|32|0|12|0|6|0|0
145|anio_inicio|1985|37|0|11|0|5|0|0
145|anio_inicio|1986|29|0|8|0|7|0|0
145|victimas_identificadas|0_a_1|925|946|196|0|0|919|289
145|victimas_identificadas|1_a_2|12|16|9|0|6|16|6
145|victimas_identificadas|5_a_6|0|0|0|2|3|0|0
145|victimas_identificadas|3_a_4|0|0|0|12|18|0|0
145|victimas_identificadas|2_a_3|0|0|192|434|224|0|0
145|victimas_identificadas|4_a_5|0|0|0|1|4|0|0
145|victimas_identificadas|-9999_a_0|3|1|0|0|0|1|0
145|victimas_total|4_a_5|3|1|0|1|5|5|0
145|victimas_total|0_a_1|765|815|388|433|226|754|284
145|victimas_total|6_a_7|3|1|0|0|2|4|0
145|victimas_total|3_a_4|5|4|0|13|17|1|0
145|victimas_total|1_a_2|154|135|5|0|2|164|5
145|victimas_total|10_a_11|5|3|2|2|3|2|3
145|victimas_total|8_a_9|1|2|2|0|0|2|3
145|victimas_total|2_a_3|4|2|0|0|0|4|0
145|responsables_identificados|-9999_a_0|940|963|0|221|255|936|0
145|responsables_identificados|0_a_1|0|0|388|228|0|0|289
145|responsables_identificados|1_a_2|0|0|7|0|0|0|3
145|responsables_identificados|2_a_3|0|0|2|0|0|0|3
145|tc_tc_politico|0|940|963|397|449|255|936|295
145|cluster|4_a_5|0|0|0|0|0|936|0
145|cluster|0_a_1|0|963|0|0|0|0|0
145|cluster|1_a_2|0|0|397|0|0|0|0
145|cluster|-9999_a_0|940|0|0|0|0|0|0
145|cluster|2_a_3|0|0|0|449|0|0|0
145|cluster|5_a_6|0|0|0|0|0|0|295
145|cluster|3_a_4|0|0|0|0|255|0|0
