Tipo|columna|variable|C_0|C_1
147|pais_hecho|Colombia|3685|550
147|departamento_hecho|Amazonas|50|0
147|departamento_hecho|Antioquia|0|550
147|departamento_hecho|Arauca|35|0
147|departamento_hecho|Archipiélago De San Andrés, Providencia Y Santa Catalina|10|0
147|departamento_hecho|Atlántico|30|0
147|departamento_hecho|Bogotá|10|0
147|departamento_hecho|Bolívar|150|0
147|departamento_hecho|Boyacá|180|0
147|departamento_hecho|Caldas|115|0
147|departamento_hecho|Caquetá|85|0
147|departamento_hecho|Casanare|100|0
147|departamento_hecho|Cauca|215|0
147|departamento_hecho|Cesar|130|0
147|departamento_hecho|Chocó|135|0
147|departamento_hecho|Cundinamarca|225|0
147|departamento_hecho|Córdoba|95|0
147|departamento_hecho|Guainía|25|0
147|departamento_hecho|Guaviare|25|0
147|departamento_hecho|Huila|175|0
147|departamento_hecho|La Guajira|75|0
147|departamento_hecho|Magdalena|110|0
147|departamento_hecho|Meta|140|0
147|departamento_hecho|Nariño|230|0
147|departamento_hecho|Norte De Santander|145|0
147|departamento_hecho|Putumayo|70|0
147|departamento_hecho|Quindio|40|0
147|departamento_hecho|Risaralda|65|0
147|departamento_hecho|Santander|260|0
147|departamento_hecho|Sin Especificar|215|0
147|departamento_hecho|Sucre|105|0
147|departamento_hecho|Sumapaz|5|0
147|departamento_hecho|Tolima|200|0
147|departamento_hecho|Valle Del Cauca|185|0
147|departamento_hecho|Vaupés|25|0
147|departamento_hecho|Vichada|25|0
147|anio_fin|2018|149|25
147|anio_fin|2015|109|19
147|anio_fin|2008|105|21
147|anio_fin|2004|70|10
147|anio_fin|2011|104|13
147|anio_fin|2016|124|18
147|anio_fin|1957|20|0
147|anio_fin|1985|45|5
147|anio_fin|1994|48|7
147|anio_fin|1965|17|2
147|anio_fin|1950|10|2
147|anio_fin|2020|239|28
147|anio_fin|1995|58|9
147|anio_fin|1993|46|16
147|anio_fin|2017|147|14
147|anio_fin|2009|74|17
147|anio_fin|1991|46|6
147|anio_fin|1998|72|9
147|anio_fin|1977|33|7
147|anio_fin|1996|44|6
147|anio_fin|2000|66|10
147|anio_fin|1992|39|8
147|anio_fin|2006|72|14
147|anio_fin|2013|123|23
147|anio_fin|1980|35|4
147|anio_fin|1972|22|2
147|anio_fin|2003|73|11
147|anio_fin|2019|175|23
147|anio_fin|1955|9|2
147|anio_fin|1982|35|9
147|anio_fin|1989|41|4
147|anio_fin|1942|0|1
147|anio_fin|2002|60|13
147|anio_fin|1971|30|6
147|anio_fin|1963|17|3
147|anio_fin|1987|36|6
147|anio_fin|1959|11|5
147|anio_fin|2010|89|16
147|anio_fin|2012|89|14
147|anio_fin|1997|55|11
147|anio_fin|2007|84|9
147|anio_fin|2001|68|10
147|anio_fin|2014|111|14
147|anio_fin|2005|77|14
147|anio_fin|1952|5|1
147|anio_fin|1984|41|7
147|anio_fin|1986|29|8
147|anio_fin|1946|4|1
147|anio_fin|1968|19|4
147|anio_fin|1983|41|1
147|anio_fin|1999|73|7
147|anio_fin|1973|24|5
147|anio_fin|1981|25|1
147|anio_fin|1951|8|0
147|anio_fin|1970|20|3
147|anio_fin|1967|23|2
147|anio_fin|1961|14|0
147|anio_fin|1962|21|4
147|anio_fin|1944|5|0
147|anio_fin|1975|26|3
147|anio_fin|1988|40|7
147|anio_fin|1990|49|3
147|anio_fin|1943|4|0
147|anio_fin|1958|11|2
147|anio_fin|1979|29|3
147|anio_fin|1969|17|0
147|anio_fin|1974|30|5
147|anio_fin|1978|28|4
147|anio_fin|1966|16|3
147|anio_fin|1960|17|1
147|anio_fin|1976|23|0
147|anio_fin|1948|7|2
147|anio_fin|1964|15|3
147|anio_fin|1953|9|0
147|anio_fin|1956|15|1
147|anio_fin|1945|4|1
147|anio_fin|1947|3|0
147|anio_fin|1954|9|2
147|anio_fin|1949|2|0
147|anio_fin|1941|1|0
147|anio_fin|1940|1|0
147|hechos_continuan|0|3675|525
147|hechos_continuan|1|10|25
147|victimas_identificadas|0_a_1|2875|400
147|victimas_identificadas|1_a_2|0|65
147|victimas_identificadas|5_a_6|0|5
147|victimas_identificadas|3_a_4|0|30
147|victimas_identificadas|2_a_3|810|40
147|victimas_identificadas|4_a_5|0|5
147|victimas_identificadas|-9999_a_0|0|5
147|victimas_total|4_a_5|5|10
147|victimas_total|0_a_1|3270|395
147|victimas_total|6_a_7|5|5
147|victimas_total|3_a_4|5|35
147|victimas_total|1_a_2|400|65
147|victimas_total|10_a_11|0|20
147|victimas_total|8_a_9|0|10
147|victimas_total|2_a_3|0|10
147|responsables_identificados|-9999_a_0|2870|445
147|responsables_identificados|0_a_1|815|90
147|responsables_identificados|1_a_2|0|10
147|responsables_identificados|2_a_3|0|5
147|cluster|0|3685|0
147|cluster|1|0|550
