Tipo|columna|variable|C_0|C_1
135|departamento_hecho|Amazonas|20.0|80.0
135|departamento_hecho|Antioquia|17.27|82.73
135|departamento_hecho|Arauca|28.57|71.43
135|departamento_hecho|Archipiélago De San Andrés, Providencia Y Santa Catalina|0.0|100.0
135|departamento_hecho|Atlántico|16.67|83.33
135|departamento_hecho|Bogotá|50.0|50.0
135|departamento_hecho|Bolívar|20.0|80.0
135|departamento_hecho|Boyacá|19.44|80.56
135|departamento_hecho|Caldas|17.39|82.61
135|departamento_hecho|Caquetá|23.53|76.47
135|departamento_hecho|Casanare|20.0|80.0
135|departamento_hecho|Cauca|18.6|81.4
135|departamento_hecho|Cesar|23.08|76.92
135|departamento_hecho|Chocó|18.52|81.48
135|departamento_hecho|Cundinamarca|20.0|80.0
135|departamento_hecho|Córdoba|21.05|78.95
135|departamento_hecho|Guainía|20.0|80.0
135|departamento_hecho|Guaviare|20.0|80.0
135|departamento_hecho|Huila|20.0|80.0
135|departamento_hecho|La Guajira|20.0|80.0
135|departamento_hecho|Magdalena|18.18|81.82
135|departamento_hecho|Meta|21.43|78.57
135|departamento_hecho|Nariño|19.57|80.43
135|departamento_hecho|Norte De Santander|20.69|79.31
135|departamento_hecho|Putumayo|21.43|78.57
135|departamento_hecho|Quindio|12.5|87.5
135|departamento_hecho|Risaralda|23.08|76.92
135|departamento_hecho|Santander|19.79|80.21
135|departamento_hecho|Sin Especificar|20.93|79.07
135|departamento_hecho|Sucre|19.05|80.95
135|departamento_hecho|Sumapaz|0.0|100.0
135|departamento_hecho|Tolima|20.0|80.0
135|departamento_hecho|Valle Del Cauca|21.62|78.38
135|departamento_hecho|Vaupés|20.0|80.0
135|departamento_hecho|Vichada|20.0|80.0
135|lugar_zona|Urbana|100.0|0.0
135|lugar_zona|Rural|0.0|100.0
135|anio_inicio|1962|24.14|75.86
135|anio_inicio|2010|11.76|88.24
135|anio_inicio|2007|17.65|82.35
135|anio_inicio|2001|41.18|58.82
135|anio_inicio|1958|42.31|57.69
135|anio_inicio|1977|31.58|68.42
135|anio_inicio|2015|22.73|77.27
135|anio_inicio|1999|20.0|80.0
135|anio_inicio|1951|21.43|78.57
135|anio_inicio|1981|15.38|84.62
135|anio_inicio|1979|38.89|61.11
135|anio_inicio|1965|6.67|93.33
135|anio_inicio|1946|42.86|57.14
135|anio_inicio|2016|26.09|73.91
135|anio_inicio|1988|11.11|88.89
135|anio_inicio|1953|15.79|84.21
135|anio_inicio|1964|31.58|68.42
135|anio_inicio|1989|23.08|76.92
135|anio_inicio|1956|31.82|68.18
135|anio_inicio|1942|18.18|81.82
135|anio_inicio|1982|24.0|76.0
135|anio_inicio|1944|14.81|85.19
135|anio_inicio|1954|22.73|77.27
135|anio_inicio|1976|22.22|77.78
135|anio_inicio|2018|5.0|95.0
135|anio_inicio|2006|9.09|90.91
135|anio_inicio|2005|25.0|75.0
135|anio_inicio|1959|19.05|80.95
135|anio_inicio|1968|13.33|86.67
135|anio_inicio|2020|14.29|85.71
135|anio_inicio|2000|27.59|72.41
135|anio_inicio|1961|16.0|84.0
135|anio_inicio|1947|16.67|83.33
135|anio_inicio|1950|21.74|78.26
135|anio_inicio|1974|25.0|75.0
135|anio_inicio|1940|24.0|76.0
135|anio_inicio|2009|62.5|37.5
135|anio_inicio|1978|8.33|91.67
135|anio_inicio|1991|0.0|100.0
135|anio_inicio|2002|14.29|85.71
135|anio_inicio|2004|27.78|72.22
135|anio_inicio|1997|15.79|84.21
135|anio_inicio|2014|11.76|88.24
135|anio_inicio|2017|13.33|86.67
135|anio_inicio|1973|5.56|94.44
135|anio_inicio|2003|31.25|68.75
135|anio_inicio|1941|5.26|94.74
135|anio_inicio|1970|26.09|73.91
135|anio_inicio|2012|25.0|75.0
135|anio_inicio|1975|27.59|72.41
135|anio_inicio|1948|13.64|86.36
135|anio_inicio|1971|10.0|90.0
135|anio_inicio|1945|20.0|80.0
135|anio_inicio|1980|16.67|83.33
135|anio_inicio|1960|20.0|80.0
135|anio_inicio|1994|12.5|87.5
135|anio_inicio|1996|40.0|60.0
135|anio_inicio|1992|13.04|86.96
135|anio_inicio|1943|16.0|84.0
135|anio_inicio|1963|35.71|64.29
135|anio_inicio|1955|9.09|90.91
135|anio_inicio|1983|13.04|86.96
135|anio_inicio|1967|11.11|88.89
135|anio_inicio|1972|25.0|75.0
135|anio_inicio|2013|11.11|88.89
135|anio_inicio|1957|10.0|90.0
135|anio_inicio|1984|16.67|83.33
135|anio_inicio|1998|14.29|85.71
135|anio_inicio|1995|8.33|91.67
135|anio_inicio|1966|21.74|78.26
135|anio_inicio|1993|30.77|69.23
135|anio_inicio|2008|6.25|93.75
135|anio_inicio|2011|23.81|76.19
135|anio_inicio|1952|8.0|92.0
135|anio_inicio|2019|11.76|88.24
135|anio_inicio|1969|15.79|84.21
135|anio_inicio|1949|28.57|71.43
135|anio_inicio|1990|27.78|72.22
135|anio_inicio|1987|17.65|82.35
135|anio_inicio|1985|9.09|90.91
135|anio_inicio|1986|15.38|84.62
135|hechos_continuan|0|19.87|80.13
135|hechos_continuan|1|0.0|100.0
135|amenaza_carta|0|19.71|80.29
135|amenaza_carta|1|0.0|100.0
135|cluster|0|100.0|0.0
135|cluster|1|0.0|100.0
