Tipo|columna|variable|C_0|C_1|C_2|C_3|C_4|C_5|C_6
143|pais_hecho|Colombia|8.15|13.34|53.84|9.09|4.37|9.21|2.01
143|lugar_zona|Urbana|0.0|67.66|0.0|0.0|22.16|0.0|10.18
143|lugar_zona|Rural|10.15|0.0|67.06|11.32|0.0|11.47|0.0
143|victimas_identificadas|0_a_1|0.0|16.95|68.24|0.0|3.05|11.76|0.0
143|victimas_identificadas|1_a_2|15.38|15.38|61.54|0.0|0.0|7.69|0.0
143|victimas_identificadas|5_a_6|0.0|0.0|0.0|100.0|0.0|0.0|0.0
143|victimas_identificadas|3_a_4|0.0|0.0|0.0|83.33|0.0|0.0|16.67
143|victimas_identificadas|2_a_3|39.41|0.0|0.0|41.18|10.0|0.0|9.41
143|victimas_identificadas|4_a_5|0.0|0.0|0.0|100.0|0.0|0.0|0.0
143|victimas_identificadas|-9999_a_0|0.0|0.0|100.0|0.0|0.0|0.0|0.0
143|responsables_identificados|-9999_a_0|0.0|17.04|68.78|11.61|0.0|0.0|2.56
143|responsables_identificados|0_a_1|38.12|0.0|0.0|0.0|20.44|41.44|0.0
143|responsables_identificados|1_a_2|0.0|0.0|0.0|0.0|0.0|100.0|0.0
143|responsables_identificados|2_a_3|0.0|0.0|0.0|0.0|0.0|100.0|0.0
143|tc_tc_politico|0|8.15|13.34|53.84|9.09|4.37|9.21|2.01
143|cluster|0_a_1|0.0|100.0|0.0|0.0|0.0|0.0|0.0
143|cluster|1_a_2|0.0|0.0|100.0|0.0|0.0|0.0|0.0
143|cluster|4_a_5|0.0|0.0|0.0|0.0|0.0|100.0|0.0
143|cluster|2_a_3|0.0|0.0|0.0|100.0|0.0|0.0|0.0
143|cluster|3_a_4|0.0|0.0|0.0|0.0|100.0|0.0|0.0
143|cluster|-9999_a_0|100.0|0.0|0.0|0.0|0.0|0.0|0.0
143|cluster|5_a_6|0.0|0.0|0.0|0.0|0.0|0.0|100.0
